,RandomForest,XGBoost,CatBoost
L8_NDMI_m01,0.0003957878480871402,0.0,0.0
L8_NDMI_m02,0.0003430284354104552,0.0,0.0
L8_NDMI_m03,0.00023263772696449438,5.3680025e-05,0.014063079554727964
L8_NDMI_m04,0.0015448548519817718,0.0009792717,0.44228958922453876
L8_NDMI_m05,0.00027267999795636187,0.0,0.0
L8_NDMI_m06,0.0021741279999632547,0.00083308236,0.0
L8_NDMI_m07,0.027281594746463713,0.015300209,3.1160464630059614
L8_NDMI_m08,0.011788787715509652,0.0010926198,0.23217161773239328
L8_NDMI_m09,0.03196580628659827,0.05614073,1.434400684970089
L8_NDMI_m10,0.00019806019216422871,0.0,0.0
L8_NDMI_m11,0.000304873587149181,0.0,0.0
L8_NDMI_m12,0.00043110693297533013,0.0,0.01732707406879444
L8_NDVI_m01,0.0007340321423963235,0.00072150305,0.07772214454585968
L8_NDVI_m02,0.0001845882394087594,0.0,0.0
L8_NDVI_m03,0.0014134692704842109,0.0,0.0
L8_NDVI_m04,0.0155302265331746,0.014309053,1.5011875313976322
L8_NDVI_m05,0.007262830124105047,0.0026406182,0.14057497895880963
L8_NDVI_m06,0.001011435772026667,0.0040616076,0.0
L8_NDVI_m07,0.016345784355576515,0.004448782,1.3954493078422168
L8_NDVI_m08,0.0036349216653102485,0.00352789,0.09028733730525171
L8_NDVI_m09,0.030897922021867814,0.16172302,1.5782685279832007
L8_NDVI_m10,0.00037750120859225813,0.0,0.005099199243718056
L8_NDVI_m11,0.000697381981409665,0.00079954666,0.2041354246571696
L8_NDVI_m12,0.0005912981317607809,0.0,0.0
L8_NDWI_m01,0.0009050455427249999,0.0010569104,0.5788471281383427
L8_NDWI_m02,0.00022942607097322734,0.0,0.0
L8_NDWI_m03,0.001580065197037062,0.0,0.15980311351362084
L8_NDWI_m04,0.01384823928682679,0.013379915,2.6449388485092244
L8_NDWI_m05,0.007404878459165668,0.0,0.07237946101818382
L8_NDWI_m06,0.0010092695259074824,0.0,0.10651076099145647
L8_NDWI_m07,0.014013954270454664,0.022799179,0.42388690959702
L8_NDWI_m08,0.0084756334425173,4.3494103e-05,0.01517332841465516
L8_NDWI_m09,0.030339556940070837,0.1377563,0.7721071746326315
L8_NDWI_m10,0.00030437392128671823,0.0013675723,0.007938319339215072
L8_NDWI_m11,0.0007394523091617174,0.0,0.0
L8_NDWI_m12,0.0004685519809924909,0.0,0.06396329287157027
L8_SR_B2_m01,9.568773347192548e-05,0.0,0.0
L8_SR_B2_m02,0.0003662329317789336,0.0015773331,0.0
L8_SR_B2_m03,0.00042195880124203203,0.00018996019,0.07177372239210042
L8_SR_B2_m04,0.002318126641840944,0.0,0.4270680487760899
