config,model,fold,kappa
S2 only,CatBoost,1,0.959983993597439
S2 only,CatBoost,2,0.88
S2 only,CatBoost,3,0.9199038846615939
S2 only,CatBoost,4,0.9399519615692554
S2 only,CatBoost,5,0.9000799360511591
S2 only,TempCNN,1,0.9399519615692554
S2 only,TempCNN,2,0.9
S2 only,TempCNN,3,0.9199038846615939
S2 only,TempCNN,4,0.9199679871948779
S2 only,TempCNN,5,0.8800479808076769
S2 + S1,CatBoost,1,0.9799839871897518
S2 + S1,CatBoost,2,0.86
S2 + S1,CatBoost,3,0.959951942330797
S2 + S1,CatBoost,4,0.98
S2 + S1,CatBoost,5,0.9200958849380743
S2 + S1,TempCNN,1,0.9200319872051179
S2 + S1,TempCNN,2,0.92
S2 + S1,TempCNN,3,0.9199038846615939
S2 + S1,TempCNN,4,0.94
S2 + S1,TempCNN,5,0.86
S2 + L8,CatBoost,1,0.9399519615692554
S2 + L8,CatBoost,2,0.9
S2 + L8,CatBoost,3,0.9399038461538461
S2 + L8,CatBoost,4,0.98
S2 + L8,CatBoost,5,0.9200958849380743
S2 + L8,TempCNN,1,0.959983993597439
S2 + L8,TempCNN,2,0.9
S2 + L8,TempCNN,3,0.8800479808076769
S2 + L8,TempCNN,4,0.9
S2 + L8,TempCNN,5,0.9000799360511591
All (S2+S1+L8),CatBoost,1,0.9799839871897518
All (S2+S1+L8),CatBoost,2,0.9
All (S2+S1+L8),CatBoost,3,0.959951942330797
All (S2+S1+L8),CatBoost,4,0.94
All (S2+S1+L8),CatBoost,5,0.9200958849380743
All (S2+S1+L8),TempCNN,1,0.9399038461538461
All (S2+S1+L8),TempCNN,2,0.92
All (S2+S1+L8),TempCNN,3,0.9198396793587175
All (S2+S1+L8),TempCNN,4,0.9
All (S2+S1+L8),TempCNN,5,0.9200958849380743
